1,2,3,4,5,6
"30066,089257","25122,392914","17741,564106","14692,700541",,
"27459,748261","25122,392914","17800,499321","15026,604004",,
"32571,640644","25310,238544","17945,76556","15157,76463",,
"10567,897351","10000,24999","9766,3914123","9526,5063177",,
"10567,897351","10064,19693","9698,4569783","9526,5063177",,
"10559,938599","9932,5129014","9625,7428865","9356,947835","9337,1965929",
"37490,312528","36328,721583","35536,967609",,,
"37490,312528","36328,721583","35536,967609",,,
"37554,715789","36313,248984","35536,967609",,,
"36931,846323","35195,379861","31181,472127","27763,510712","27609,153096",
"36947,433619","35195,379861","30999,855918","27882,197546","27686,49183",
"36931,846323","35195,379861","30999,855918","27763,510712","27609,153096",
"25171,349164","3199,7390584","2851,175822","2728,4831316","2641,4568971",
"26460,22182","3278,5767345","2851,175822","2744,8136134","2641,4568971",
"28498,452053","3278,5767345","2851,175822","2728,4831316","2641,4568971",
"30706,728729","16580,512225","15439,715646","13419,098212","12033,263424","11826,569445"
"30718,909691","16725,813319","15439,715646","13658,405785","12033,263424","11826,569445"
"30706,728729","16580,512225","15420,238352","13338,933336","12033,263424","11826,569445"
"40848,080834","29115,776975","22151,394568","18884,133477",,
"40829,246989","29006,969724","22151,394568","18884,133477",,
"40591,034922","29101,450195","22151,918657","18940,033485",,
"29716,967755","28303,002069","27609,311002",,,
"29716,967755","28303,002069","27815,14364",,,
"29738,984654","28303,002069","27815,14364",,,
"20449,310157","8723,7420183","7014,8452744","6792,746154",,
"20443,641055","8455,6391288","6911,0225049","6732,634831",,
"20443,641055","7906,7102323","6911,0225049","6732,634831",,
"29445,655964","14169,228179","11572,719996",,,
"29445,655964","14216,967103","12146,542293",,,
"29445,655964","14216,967103","11483,583464",,,
"20399,237726","14963,510625","11445,659969","6675,6320388","6641,8870799",
"20399,237726","14963,510625","11445,659969","6675,6320388","6641,8870799",
"20167,580594","14963,510625","11427,716991","6675,6320388","6641,8870799",
"27986,131674","25984,237711","18650,820619","18158,66357",,
"28269,424187","25984,237711","18650,820619","18158,66357",,
"27986,131674","25970,35958","18695,456523","18343,705687",,
"36339,203218","34211,940864","32816,366851",,,
"36334,175674","34211,940864","32212,515823",,,
"36334,175674","34111,45449","32728,058376",,,
"23135,10934","19554,900073","14879,427963",,,
"23087,496497","19545,836832","14879,427963","14874,559153",,
"23087,496497","19554,900073","14957,672537",,,
"21070,787513","20091,827849","19377,399969",,,
"21073,849043","20084,312119","18348,185842",,,
"21063,96218","20091,827849","19227,196381",,,
"26638,907646","23455,40026","8868,2521543",,,
"26638,907646","23455,40026","8333,2196154",,,
"26638,907646","23455,40026","8660,2552502",,,
"31454,637161","30339,385943","29682,065552",,,
"31454,637161","30339,385943","29682,065552",,,
"31454,637161","30339,354914","29682,065552",,,
"39095,093622","25940,166977","8680,9857701",,,
"39108,106456","31390,334949","9793,1329152",,,
"39095,093622","26563,744094","9793,1329152",,,
"29897,731575","26204,322666","12401,203059","4574,8125902",,
"29828,72467","26030,01278","12096,88334","4049,594479",,
"29897,731575","26204,322666","12096,88334","4348,6956299",,
"34608,098308","22062,891729","8814,1236114","4219,4443626","3269,5649502",
"34750,427308","22564,967175","9175,0317756","4219,4443626","3269,5649502",
"34676,597966","22062,891729","9175,0317756","4219,4443626","3269,5649502",
"28023,049844","24257,355699","16004,542398","14649,865272",,
"19781,974619","14376,129903","11168,585978",,,
"17608,471778","8070,3627106","3543,4791171","2774,2012681",,
"16821,378793","10722,305788","6209,5327607","620,44898022",0,
"24376,324105","22790,238651","22154,802798","17244,301822",,
"25855,101279","12529,051995","9503,1498275","3169,7110503","2399,1424605",
"22253,257092","14467,240966","8513,2175637",,,
"22900,535857","18954,112669","14671,638532",,,
"18331,894816","11391,351419","8982,807638",,,
"36130,059716","28742,591105","14807,228045","9294,9478515",,
"23479,154658","19301,881647","15413,728508","11918,079597","10011,960077",
"26983,1985","26049,275128","19569,902203","18200,771614","17969,920493",
"26910,69667","10185,492989","7343,9958163","2891,7753374",0,
"26895,282918","25245,352347","23638,998588","15414,892953","13518,21017",
"29935,582858","29511,608331","27597,43317","22895,291719","22099,660347",
"24418,950613","13309,625161","6315,7432426","3906,6712583","967,32343327",0
"28351,500654","17593,539179","13174,100698","11563,625843","10701,154217","7498,9503343"
"22599,842622","15765,0624","14259,596424","12179,902076","9924,6997723","5379,0958443"
"26701,207471","24076,625291","13844,914562","6978,2142869",,
"36111,787865","24664,37449","22499,623897","21200,867772",,
"21626,631096","20783,971935","16362,430584","13304,434405",,
"24852,743178","20797,729548","16215,332342",,,
"25904,316842","14827,568838","10711,373977",,,
"27679,190309","15420,134829","8555,419049",,,
"21680,879847","12413,006917","11070,930318","10125,304524",,
"14745,263571","4952,5013161","4412,0356461","4355,4326155",,
"19744,783301","15108,725179","6794,054682","4015,8623103",,
"29510,457439","11855,881935","7057,6394691",,,
"22773,313782","17084,731735","16242,230456",,,
"15624,681106","9640,578111","6932,1812157",,,
"25277,841713","13184,407642","7736,3208512","7554,1628764","6479,7463649",
"26298,186123","22363,644505","21715,493943","16442,178173","14528,057967",
"22612,222517","18824,92816","16787,98014","14033,331903",,
"25877,447926","23751,025211","23487,225178","22926,07165",,
"15068,846703","12863,117684","7769,6843723","5371,2171525",,
"26311,373513","22798,987606","21989,694469",,,
"16289,420423","12411,545834","10754,484429",,,
"36678,827553","25240,249617",,,,
"24986,87436","22976,237715","22217,808935",,,
"33776,364561","22190,070533","17061,103095",,,
"23799,08707","16525,883592","14864,564313","14746,646244",,
"29714,061784","23496,736678","20455,364254",,,
"12219,207726","9377,6703607","8754,2796093",,,
"21948,978072","18874,436458","18740,780158",,,
"26996,035824","23775,628122","10999,033555",,,
"30393,381908","23759,509425","21472,017125",,,
"29466,815848","24230,788458","24067,190459",,,
"38583,152596","17259,095385","14773,777924",,,
"25086,231134","24148,57953","23524,250324",,,
"21843,330837","10614,270485","4790,2739727",,,
"19413,112726","18655,812993","16066,80653",,,
"19280,518699","14525,888271","11611,404387",,,
"23723,464911","12600,56195","2599,8569645",,,
"31661,191028","30653,020174","13422,69919",,,
"19046,356582","18529,405668","18264,360932","16886,473057",,
"17667,372465","10882,659021","7503,4975079","5715,9556018",,
"29710,362559","29254,46873","28403,573579","25385,711266",,
"21951,043645","19057,820053","18464,063946","16770,976939","16487,012868",
"32298,384955","30391,176642","23236,983725","22227,798497","22102,777658",
"22996,502283","22469,735009","17268,907832","17048,013419","14986,486299",
"32999,80647","31160,317193","29198,684545","28610,087051",,
"32749,533844","30993,594603","29004,473938","28475,165319",,
"32749,533844","30993,594603","29004,473938","28475,165319",,
"36537,147861","10684,3781","9669,5381994","8999,1300044","8753,5120883",
"36611,821816","10684,3781","9669,5381994","8999,1300044","8753,5120883",
"36537,147861","10682,87704","9669,5381994","8753,5120883","8700,1775333",
"34776,223427","17167,656991","15277,405119",,,
"34776,223427","16329,627472","15277,405119",,,
"34776,223427","16329,627472","15277,405119",,,
"31845,425515","21380,307697","20591,588554","19926,913095","19843,000174",
"30074,269445","21380,307697","20436,285957","19926,913095","19843,000174",
"29412,16932","21340,854041","20436,285957","19843,000174",,
"35999,345387","34364,663098","32580,351455","31267,742434","30531,276101",
"35999,345387","34364,663098","32580,351455","31267,742434","30531,276101",
"35999,345387","34364,663098","32580,351455","31267,742434","30531,276101",
"40350,777978","38895,775857","37688,238338","37092,267901","36306,356042","35559,841532"
"40361,507172","38895,775857","37688,238338","36671,965757","35950,34486","35229,682331"
"40361,507172","38895,775857","37688,238338","36671,965757","35950,34486","35229,682331"
"17424,728621","9002,3124393","5669,7956526","5139,6289592",,
"17424,728621","9868,8214569","5669,7956526","5171,1140481",,
"17424,728621","8845,6192792","5669,7956526","5139,6289592",,
"16024,445278","8689,8458161","5874,2952235",,,
"16559,895575","8809,0038816","5817,4349033",,,
"16425,982035","8809,0038816","5817,4349033",,,
"27013,349337","25419,873914","24697,792059","24013,834816",,
"27013,349337","25419,873914","24700,998763","24237,193958",,
"27013,349337","25419,873914","24697,792059","24237,193958",,
"28736,194665","27024,26728","26455,01757",,,
"28888,693852","27200,088677","26776,991585",,,
"28736,194665","27200,088677","26534,199772",,,
"29012,005738","26969,026043","17273,88067","16088,88568","15496,648769",
"29135,564954","27190,136629","17466,019647","16249,849347","15920,181011",
"29135,564954","27190,136629","17466,019647","16249,849347","15920,181011",
"9081,317868","3193,7311562","2743,1478946","2679,937472",,
"9081,317868","3194,7669186","2743,1478946","2724,6344746",,
"9081,317868","3194,7669186","2743,1478946","2724,6344746",,
"34925,309756","34111,166914","33806,054113",,,
"35018,650312","34150,453018","34007,805802",,,
"35042,247891","34273,256789","34019,993721",,,
"40494,945711","34472,118221","31865,395988","31664,296611",,
"40565,683723","34636,491875","31963,338952",,,
"40565,683723","34636,491875","31963,338952",,,
"36121,165311","33284,716051","30225,580834",,,
"36209,913166","33421,42498","30345,810952",,,
"36209,913166","33421,42498","30345,810952",,,
"32886,509773","30097,941709","22348,888021",,,
"32886,509773","30193,669715","22482,986307",,,
"32886,509773","30193,669715","22482,986307",,,
"20907,129418","19903,41278","19668,167572",,,
